rand_fixed	completed	activity_code	region	state	ESOffice.x	title	lead_agency	FY	FY_start	FY_concl	start_date	date_formal_consult	due_date	FWS_concl_date	elapsed	date_active_concl	timely_concl	hours_logged	events_logged	formal_consult	consult_type	consult_complex	work_type	work_category	ARRA	datum	lat_dec_deg	long_dec_deg	lat_deg	lat_min	lat_sec	long_deg	long_min	long_sec	UTM_E	UTM_N	UTM_zone	spp_ev_ls	spp_BO_ls	n_spp_eval	n_spp_BO	n_nofx	n_NLAA	n_conc	n_jeop	n_rpa	n_admo	n_tech	staff_lead_hash	staff_support_hash	with_coord	Region	ESOffice.y	Latitude	Longitude	Datum
0.342330906	NA	01EWFW00-2012-I-0089	1	WA	WASHINGTON FISH AND WILDLIFE OFFICE	French Creek Bluff Housing Development	Department of Housing and Urban Development	2012	2012	2012	4/4/12	NA	5/4/12	4/27/12	23	4/27/12	Yes	No	No	No	Informal Consultation	Standard	development - residential	development	No ARRA funding	NAD83	NA	NA	NA	NA	NA	NA	NA	NA	5306317	574105	10	"Trout, bull (Salvelinus confluentus)"	bull trout (salvelinus confluentus): BO = NLAA - Concurrence Provided; CH = 	1	1	0	1	1	0	0	0	0	fc8301d10d9557c066947459d9bfb4d5	None	TRUE	1	WASHINGTON FISH AND WILDLIFE OFFICE	47.90608	-122.00713	NAD27
0.342561416	NA	04ES1000-2014-I-0140	4	SC	SOUTH CAROLINA ECOLOGICAL SERVICES	"SCDNR-2014 Clean Vessel Act Program-Inland Construction, SC"	South Carolina Department of Natural Resources	2014	2014	2014	2/13/14	NA	3/15/14	2/18/14	5	2/18/14	Yes	No	No	No	Informal Consultation	Standard	federal grant / loan related	federal grant / loan related	No ARRA funding	WGS84	NA	NA	32	45	7	-80	0	42	NA	NA	NA	"Manatee, West Indian (Trichechus manatus); Sturgeon, shortnose (Acipenser brevirostrum); Sea turtle, loggerhead (Caretta caretta); Stork, wood (Mycteria americana)"	 	4	0	NA	NA	NA	NA	0	NA	NA	58465c5dfcfa121635635a05f3636efb	None	TRUE	4	SOUTH CAROLINA ECOLOGICAL SERVICES	32.75177	-80.01185	NAD27
0.342698297	NA	05E2PA00-2012-I-0042	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	Williams Field Services Gibson Gas Pipeline	-- OTHER: CONSULTANT --	2012	2012	2012	10/17/11	NA	11/16/11	12/2/11	46	12/2/11	No	No	No	No	Informal Consultation	Standard	oil or gas pipeline	oil or gas pipeline	No ARRA funding	WGS84	41.745201	-75.662262	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bat, Indiana (Myotis sodalis)"	 	1	0	NA	NA	NA	NA	0	NA	NA	7374dbb1a08095e21f7ea24479eed338	None	TRUE	5	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	41.74512	-75.66263	NAD27
0.342767753	NA	42430-2011-I-0134	4	TN	TENNESSEE ECOLOGICAL SERVICES FIELD OFFICE	Indiana bat coord. SR-80 construction; Smith Co	Tennessee Department of Transportation	2011	2011	2011	12/15/10	NA	12/23/10	12/20/10	5	12/20/10	Yes	No	No	No	Informal Consultation	Standard	transport - road / highway - maintenance / modification / replacement / upgrade - non federal	transportation	No ARRA funding	NAD83	36.354	-85.959	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bat, Indiana (Myotis sodalis)"	indiana bat (myotis sodalis): BO = NLAA - Concurrence Provided; CH = 	1	1	0	1	1	0	0	0	0	0ac2a059b28b7a722e8cf7f3dd9f77cc	20cb793e7b539ea7e3a3dc8e71affa42	TRUE	4	TENNESSEE ECOLOGICAL SERVICES FIELD OFFICE	36.35395	-85.95901	NAD27
0.342957253	NA	52420-2008-I-1649	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	Quakertown Industrial Commons Lot Num.3	-- OTHER: CONSULTANT --	2008	2008	2008	7/15/08	NA	8/14/08	9/12/08	59	9/12/08	No	No	No	No	Informal Consultation	Standard	development - commercial	development	No ARRA funding	WGS84	NA	NA	40	27	28.2	-75	21	35.6	NA	NA	NA	"Turtle, bog (=Muhlenberg) (Clemmys muhlenbergii)"	bog (=muhlenberg) turtle (clemmys muhlenbergii): BO = No Effect - Concurrence Provided; CH = 	1	1	1	0	1	0	0	0	0	7374dbb1a08095e21f7ea24479eed338	8948dfe5f7b5ea32dba8b7988fcb8a7f	TRUE	5	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	40.45773	-75.36027	NAD27
0.343200714	NA	02ETTXX0-2015-I-0049	2	TX	Texas Coastal Ecological Services Field Office	City of Harlingen - 315 West Tyler - clear and demo	Community Planning and Development (HUD)	2015	2015	2015	11/19/14	NA	12/19/14	11/24/14	5	11/24/14	Yes	Yes	Yes	No	Informal Consultation	Standard	development - residential	development	No ARRA funding	WGS84	NA	NA	26	11	21.5	-97	41	54.3	NA	NA	NA	"Plover, piping (Charadrius melodus); Sea turtle, hawksbill (Eretmochelys imbricata); Knot, red (Calidris canutus rufa); Jaguarundi, Sinaloan (Herpailurus (=Felis) yagouaroundi tolteca); Pipit, spragues (Anthus spragueii); Ambrosia, south Texas (Ambrosia cheiranthifolia); Ayenia, Texas (Ayenia limitaris); Ocelot (Leopardus (=Felis) pardalis); Sea turtle, leatherback (Dermochelys coriacea); Manatee, West Indian (Trichechus manatus); Sea turtle, green (Chelonia mydas); Sea turtle, Kemps ridley (Lepidochelys kempii); Pelican, brown (Pelecanus occidentalis); Sea turtle, loggerhead (Caretta caretta); Parrot, red-crowned (Amazona viridigenalis)"	"brown pelican (pelecanus occidentalis): BO = No Effect - No Concurrence Required; CH = , green sea turtle (chelonia mydas): BO = No Effect - No Concurrence Required; CH = , gulf coast jaguarundi (herpailurus (=felis) yagouaroundi cacomitli): BO = No Effect - No Concurrence Required; CH = , hawksbill sea turtle (eretmochelys imbricata): BO = No Effect - No Concurrence Required; CH = , kemps ridley sea turtle (lepidochelys kempii): BO = No Effect - No Concurrence Required; CH = , leatherback sea turtle (dermochelys coriacea): BO = No Effect - No Concurrence Required; CH = , loggerhead sea turtle (caretta caretta): BO = No Effect - No Concurrence Required; CH = , ocelot (leopardus (=felis) pardalis): BO = No Effect - No Concurrence Required; CH = , piping plover (charadrius melodus): BO = No Effect - No Concurrence Required; CH = , red knot (calidris canutus rufa): BO = No Effect - No Concurrence Required; CH = , red-crowned parrot (amazona viridigenalis): BO = No Effect - No Concurrence Required; CH = , south texas ambrosia (ambrosia cheiranthifolia): BO = No Effect - No Concurrence Required; CH = , spragues pipit (anthus spragueii): BO = No Effect - No Concurrence Required; CH = , texas ayenia (ayenia limitaris): BO = No Effect - No Concurrence Required; CH = , west indian manatee (trichechus manatus): BO = No Effect - No Concurrence Required; CH = )"	15	15	15	0	NA	0	0	0	0	456c52cac14ad7d5b331d34961bba8c2	None	TRUE	2	Texas Coastal Ecological Services Field Office	26.18895	-97.69815	NAD27
0.343559936	NA	51411-2008-I-0352	5	VA	VIRGINIA ECOLOGICAL SERVICES FIELD OFFICE	Rt. 648-00648-015-15101032	Army Corps of Engineers	2008	2008	2008	1/25/08	NA	3/25/08	3/11/08	46	3/11/08	Yes	No	No	No	Informal Consultation	Standard	transportation - road / highway	transportation	No ARRA funding	NAD83	NA	NA	37	10	14	-78	38	21	NA	NA	NA		 	1	0	NA	NA	NA	NA	0	NA	NA	d18f62aeec68f53ecf10d0370f726a2f	None	TRUE	5	VIRGINIA ECOLOGICAL SERVICES FIELD OFFICE	37.17041	-78.63944	NAD27
0.34363504	NA	41420-2009-I-0302	4	FL	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	"Krome Avenue from US 1 to Lucy Street, Homestead, FL"	Florida Department of Transportation	2009	2009	2009	5/15/09	NA	6/14/09	5/26/09	11	5/26/09	Yes	No	No	No	Informal Consultation	Standard	transportation - road / highway	transportation	No ARRA funding	WGS84	25.437046	-80.47489	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Snake, eastern indigo (Drymarchon corais couperi)"	 	1	0	NA	NA	NA	NA	0	NA	NA	07ce12e96ca160dd9d9998cccb5ce08e	None	TRUE	4	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	25.43666	-80.47511	NAD27
0.344238105	NA	04EM1000-2012-I-0216	4	MS	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	"MDA, 29126 sixteen section road, pass christian"	Department of Housing and Urban Development	2012	2012	2012	11/23/11	NA	12/23/11	11/30/11	7	11/30/11	Yes	No	No	No	Informal Consultation	Standard	development - residential	development	No ARRA funding	WGS84	NA	NA	30	26	7.5	-89	19	44.6	NA	NA	NA		 	1	0	NA	NA	NA	NA	0	NA	NA	75e05c08de2ac8174753d5dca0def920	None	TRUE	4	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	30.43522	-89.32901	NAD27
0.344388828	NA	04EM1000-2013-I-0281	4	MS	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	J. Cooper Rd Bridge replacement	Federal Highway Administration	2013	2013	2013	1/17/13	NA	2/16/13	1/31/13	14	1/31/13	Yes	No	No	No	Informal Consultation	Standard	bridge - maintenance / modification / replacement / upgrade - federal	bridge	No ARRA funding	WGS84	NA	NA	30	53	24.6	-88	56	3.4	NA	NA	NA	"Quillwort, Louisiana (Isoetes louisianensis)"	louisiana quillwort (isoetes louisianensis): BO = No Effect - Concurrence Provided; CH = 	1	1	1	0	1	0	0	0	0	75e05c08de2ac8174753d5dca0def920	None	TRUE	4	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	30.88998	-88.93424	NAD27
0.34461905	NA	13410-2010-I-0589	1	WA	WASHINGTON FISH AND WILDLIFE OFFICE	US 101 Shore Road to Kitchen-Dick Road Widening	Federal Highway Administration	2010	2010	2011	9/28/10	NA	10/28/10	12/1/10	64	12/1/10	No	No	No	No	Informal Consultation	Standard	transport - road / highway - maintenance / modification / replacement / upgrade - federal	transportation	No ARRA funding	NAD83	NA	NA	NA	NA	NA	NA	NA	NA	5326208	482677	10	"Murrelet, marbled (Brachyramphus marmoratus); Trout, bull (Salvelinus confluentus)"	"bull trout (salvelinus confluentus): BO = NLAA - Concurrence Provided; CH = , marbled murrelet (brachyramphus marmoratus): BO = NLAA - Concurrence Provided; CH = )"	2	2	0	2	2	0	0	0	0	41c73b6909311731a127911c234ee05f	None	TRUE	1	WASHINGTON FISH AND WILDLIFE OFFICE	48.08909	-123.23133	NAD27
0.345563669	NA	43410-2008-I-0659	4	AL	ALABAMA ECOLOGICAL SERVICES FIELD OFFICE	"MEC -Piper Mining Project - 214 acres -Hope Coal Co -Bibb Co,AL"	Alabama Surface Mining Commission	2008	2015	2015	4/20/15	NA	5/20/15	4/21/15	1	4/21/15	Yes	No	Yes	No	Informal Consultation	Standard	mining - surface extraction - coal	mining	No ARRA funding	WGS84	NA	NA	33	6	48	-87	1	57	NA	NA	NA	"Darter, goldline (Percina aurolineata); Lioplax, cylindrical (snail) (Lioplax cyclostomaformis); Pebblesnail, flat (Lepyrium showalteri); Shiner, Cahaba (Notropis cahabae); Pocketbook, finelined (Lampsilis altilis); Rocksnail, round (Leptoxis ampla)"	 	6	0	NA	NA	NA	NA	0	NA	NA	ab6fb91e138eac4934c88bbc99dbb5cd	ffca30b32c0fe1de0149c1af9be8f8e2	TRUE	4	ALABAMA ECOLOGICAL SERVICES FIELD OFFICE	33.11321	-87.03251	NAD27
0.345689016	NA	52420-2009-I-1067	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	Good Shepherd Evangelical Lutheran Church Minor Subdivision	-- OTHER: CONSULTANT --	2009	2013	2013	7/11/13	NA	8/10/13	8/1/13	21	8/1/13	Yes	No	No	No	Informal Consultation	Standard	development - residential	development	No ARRA funding	WGS84	NA	NA	40	43	1.6	-75	29	12.2	NA	NA	NA	"Turtle, bog (=Muhlenberg) (Clemmys muhlenbergii)"	bog (=muhlenberg) turtle (clemmys muhlenbergii): BO = No Effect - Concurrence Provided; CH = 	1	1	1	0	1	0	0	0	0	8948dfe5f7b5ea32dba8b7988fcb8a7f	cfb4f3f50a50c7eeb747845ec2ca3a42	TRUE	5	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	40.71701	-75.48709	NAD27
0.346096713	NA	03E12000-2012-I-0139	3	IN	BLOOMINGTON ECOLOGICAL SERVICES FIELD OFFICE	new cell tower near Clarksville	Federal Communications Commission	2012	2012	2012	12/27/11	NA	1/26/12	12/27/11	0	12/27/11	Yes	No	No	No	Informal Consultation	Standard	communications tower - new construction	communications tower	No ARRA funding	NAD83	NA	NA	NA	NA	NA	NA	NA	NA	4432382	594321	16		 	1	0	NA	NA	NA	NA	0	NA	NA	30e6576326b876e7e3d98d23fd904609	None	TRUE	3	BLOOMINGTON ECOLOGICAL SERVICES FIELD OFFICE	40.03636	-85.89446	NAD27
0.34634153	NA	04EN2000-2014-I-0263	4	NC	RALEIGH ECOLOGICAL SERVICES FIELD OFFICE	ECS Carolinas LLP- Mason Tract (92 Acres)	-- OTHER: CONSULTANT --	2014	2014	2014	4/28/14	NA	5/30/14	5/30/14	32	5/30/14	Yes	No	No	No	Informal Consultation	Standard	development	development	No ARRA funding	WGS84	35.746	-78.911	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Eagle, bald (Haliaeetus leucocephalus); Woodpecker, red-cockaded (Picoides borealis); Sumac, Michauxs (Rhus michauxii); Wedgemussel, dwarf (Alasmidonta heterodon)"	 	4	0	NA	NA	NA	NA	0	NA	NA	b5cdfb787092aaff4c85c387b48463f6	None	TRUE	4	RALEIGH ECOLOGICAL SERVICES FIELD OFFICE	35.74585	-78.91127	NAD27
0.346350169	NA	43910-2009-I-0067	4	MS	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	PRVO LTWH 10 homes Gulfport	Department of Housing and Urban Development	2009	2009	2009	10/1/08	NA	10/31/08	10/14/08	13	10/14/08	Yes	No	No	No	Informal Consultation	Standard	development - residential	development	No ARRA funding	WGS84	NA	NA	30	24	21	-89	5	16.3	NA	NA	NA		 	1	0	NA	NA	NA	NA	0	NA	NA	e6d53a4394a606886ea5d8822fad1396	None	TRUE	4	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	30.40564	-89.08782	NAD27
0.346980454	NA	52420-2010-I-0243	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	SR 4005 Segment 0050 Offset 0532 Bridge Deck Replacement	STATE OF PENNSYLVANIA	2010	2010	2010	12/15/09	NA	5/13/10	5/3/10	139	5/3/10	Yes	No	No	No	Informal Consultation	Standard	bridge - maintenance / modification / replacement / upgrade - non federal	bridge	No ARRA funding	WGS84	NA	NA	40	46	23.5	-75	27	37.9	NA	NA	NA	"Turtle, bog (=Muhlenberg) (Clemmys muhlenbergii)"	bog (=muhlenberg) turtle (clemmys muhlenbergii): BO = NLAA - Concurrence Provided; CH = 	1	1	0	1	1	0	0	0	0	cfb4f3f50a50c7eeb747845ec2ca3a42	None	TRUE	5	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	40.7731	-75.4609	NAD27
0.347442829	NA	43421-2010-I-0130	4	AR	ARKANSAS ECOLOGICAL SERVICES FIELD OFFICE	"Marlar Engineering Co., Inc._Saline County, AR"	Arkansas Department of Pollution Control and Ecology	2010	2010	2010	11/9/09	NA	11/13/09	11/9/09	0	11/9/09	Yes	No	No	No	Informal Consultation	Standard	water supply pipeline - maintenance / modification / replacement / upgrade - below ground	water supply pipeline	No ARRA funding	WGS84	34.79	-92.7617	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Fatmucket, Arkansas (Lampsilis powellii)"	 	1	0	NA	NA	NA	NA	0	NA	NA	276fb7c930d280a188d8b0d2b95a0bd0	3ef99e7a992536b849ad919a490c0c73	TRUE	4	ARKANSAS ECOLOGICAL SERVICES FIELD OFFICE	34.78991	-92.76153	NAD27
0.347983542	NA	05E2PA00-2012-I-0771	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	Humboldlt Industrial Park North Lot Num.10	-- OTHER: CONSULTANT --	2012	2012	2012	4/25/12	NA	5/25/12	6/6/12	42	6/6/12	No	No	No	No	Informal Consultation	Standard	development - commercial	development	No ARRA funding	WGS84	NA	NA	40	56	56.6	-76	2	28.4	NA	NA	NA	"Bat, Indiana (Myotis sodalis)"	indiana bat (myotis sodalis): BO = No Effect - Concurrence Provided; CH = 	1	1	1	0	1	0	0	0	0	7374dbb1a08095e21f7ea24479eed338	None	TRUE	5	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	40.94897	-76.04157	NAD27
0.348538049	NA	51411-2008-I-0450	5	VA	VIRGINIA ECOLOGICAL SERVICES FIELD OFFICE	Rt. 678  0678-086-15156580	Army Corps of Engineers	2008	2007	2008	9/21/07	NA	11/20/07	11/7/07	47	11/7/07	Yes	No	No	No	Informal Consultation	Standard	transportation - road / highway	transportation	No ARRA funding	NAD83	NA	NA	36	47	42	-81	16	22	NA	NA	NA		 	1	0	NA	NA	NA	NA	0	NA	NA	d18f62aeec68f53ecf10d0370f726a2f	None	TRUE	5	VIRGINIA ECOLOGICAL SERVICES FIELD OFFICE	36.79488	-81.27296	NAD27
0.348991392	NA	05E2NJ00-2013-I-0019	5	NJ	NEW JERSEY ECOLOGICAL SERVICES FIELD OFFICE	NJ Dept. of Transportation - Route 46 Bridge over Musconetcong River	New Jersey Department of Transportation	2013	2013	2013	10/26/12	NA	10/30/12	10/26/12	0	10/26/12	Yes	No	No	No	Informal Consultation	Standard	bridge - maintenance / modification / replacement / upgrade - federal	bridge	No ARRA funding	NAD83	40.84849	-74.821676	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bat, Indiana (Myotis sodalis)"	indiana bat (myotis sodalis): BO = NLAA - Concurrence Provided; CH = 	1	1	0	1	1	0	0	0	0	9f97cb181c546408fcbf8f6abca387b4	e85b01fcde24284b16efc6ea03408820	TRUE	5	NEW JERSEY ECOLOGICAL SERVICES FIELD OFFICE	40.84839	-74.82207	NAD27
0.349028179	NA	43910-2008-I-0071	4	MS	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	gulf south magnolia line replacement	Federal Energy Regulatory Commission	2008	2008	2008	10/10/07	NA	11/9/07	10/11/07	1	10/11/07	Yes	No	No	No	Informal Consultation	Standard	oil or gas - pipeline - onshore - maintenance / modification / replacement / upgrade - below ground	oil or gas	No ARRA funding	WGS84	NA	NA	31	23	1.7	-90	25	39	NA	NA	NA	"Woodpecker, red-cockaded (Picoides borealis)"	red-cockaded woodpecker (picoides borealis): BO = No Effect - Concurrence Provided; CH = 	1	1	1	0	1	0	0	0	0	75e05c08de2ac8174753d5dca0def920	None	TRUE	4	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	31.38363	-90.4274	NAD27
0.350131657	NA	13260-2009-I-0120	1	WA	CENTRAL WASHINGTON FIELD OFFICE	Tunk Mountain Maintenance	Forest Service	2009	2009	2009	7/15/09	NA	7/20/09	7/20/09	5	7/20/09	Yes	No	No	No	Informal Consultation	Programmatic Project-Level	communications tower - maintenance / modification / replacement / upgrade	communications tower	No ARRA funding	WGS84	48.5455	-119.236	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bear, grizzly (Ursus arctos horribilis); Lynx, Canada (Lynx canadensis)"	"canada lynx (lynx canadensis): BO = NLAA - Concurrence Provided; CH = , grizzly bear (ursus arctos horribilis): BO = NLAA - Concurrence Provided; CH = )"	2	2	0	2	2	0	0	0	0	1646a097ff1e3a65739d3d17e18306aa	1646a097ff1e3a65739d3d17e18306aa	TRUE	1	CENTRAL WASHINGTON FIELD OFFICE	48.54562	-119.23485	NAD27
0.350349922	NA	51411-2008-I-0313	5	VA	VIRGINIA ECOLOGICAL SERVICES FIELD OFFICE	"Rt. 311-BR02-367,M501"	Army Corps of Engineers	2008	2008	2008	12/26/07	NA	2/24/08	2/5/08	41	2/5/08	Yes	No	No	No	Informal Consultation	Standard	transportation - road / highway	transportation	No ARRA funding	NAD83	NA	NA	37	33	58.5	-80	15	30.4	NA	NA	NA		 	1	0	NA	NA	NA	NA	0	NA	NA	d18f62aeec68f53ecf10d0370f726a2f	None	TRUE	5	VIRGINIA ECOLOGICAL SERVICES FIELD OFFICE	37.56612	-80.25867	NAD27
0.350386245	NA	05E2PA00-2014-I-0567	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	SR 3005 30/388 Culvert Replacement	Federal Highway Administration	2014	2014	2014	4/7/14	NA	5/7/14	6/20/14	74	6/20/14	No	No	No	No	Informal Consultation	Standard	stream / waterbody - modification - culvert / pipe	stream / waterbody	No ARRA funding	WGS84	NA	NA	39	43	48.3	-77	16	43.2	NA	NA	NA	"Bat, Indiana (Myotis sodalis); Turtle, bog (=Muhlenberg) (Clemmys muhlenbergii)"	"bog (=muhlenberg) turtle (clemmys muhlenbergii): BO = No Effect - Concurrence Provided; CH = , indiana bat (myotis sodalis): BO = NLAA - Concurrence Provided; CH = )"	2	2	1	1	2	0	0	0	0	cfb4f3f50a50c7eeb747845ec2ca3a42	None	TRUE	5	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	39.72999	-77.27896	NAD27
0.350580557	NA	52420-2008-I-1482	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	Portland Industrial Park MEG Manufacturing Facility	-- OTHER: CONSULTANT --	2008	2008	2008	6/16/08	NA	7/16/08	7/22/08	36	7/22/08	No	No	Yes	No	Informal Consultation	Standard	development	development	No ARRA funding	WGS84	NA	NA	40	54	57.1	-75	5	19	NA	NA	NA	"Eagle, bald (Haliaeetus leucocephalus); Turtle, bog (=Muhlenberg) (Clemmys muhlenbergii)"	"bald eagle (haliaeetus leucocephalus): BO = NLAA - Concurrence Provided; CH = , bog (=muhlenberg) turtle (clemmys muhlenbergii): BO = NLAA - Concurrence Provided; CH = )"	2	2	0	2	2	0	0	0	0	7374dbb1a08095e21f7ea24479eed338	None	TRUE	5	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	40.91576	-75.08899	NAD27
0.352353135	NA	52421-2009-I-0494	5	NJ	NEW JERSEY ECOLOGICAL SERVICES FIELD OFFICE	"Department of the Army, AFRC, Camden County (b)"	Department of Defense (DOD) - Army	2009	2009	2009	4/15/09	NA	6/15/09	5/27/09	42	5/27/09	Yes	No	No	No	Informal Consultation	Standard	development - government / military	development	No ARRA funding	NAD83	39.725156	-74.953896	NA	NA	NA	NA	NA	NA	NA	NA	NA		 	1	0	NA	NA	NA	NA	0	NA	NA	ad563a3521f8546820c859583d510709	None	TRUE	5	NEW JERSEY ECOLOGICAL SERVICES FIELD OFFICE	39.72504	-74.95429	NAD27
0.353068784	NA	42430-2008-I-0342	4	TN	TENNESSEE ECOLOGICAL SERVICES FIELD OFFICE	ARAP 07-166  TDOT	Environmental Protection Agency	2008	2008	2008	4/7/08	NA	4/11/08	4/9/08	2	4/9/08	Yes	No	No	No	Informal Consultation	Standard	bridge - maintenance / modification / replacement / upgrade - federal	bridge	No ARRA funding	NAD83	36.4954	-89.118	NA	NA	NA	NA	NA	NA	NA	NA	NA		 	1	0	NA	NA	NA	NA	0	NA	NA	901cb94bf7047ed757a84d9b4569fc2c	None	TRUE	4	TENNESSEE ECOLOGICAL SERVICES FIELD OFFICE	36.49534	-89.11793	NAD27
0.35367588	NA	42410-2011-I-0173	4	SC	SOUTH CAROLINA ECOLOGICAL SERVICES	Atlantic Env. Svs. Inc. - Comporium Wireless 074-907 Country Club	Federal Communications Commission	2011	2011	2011	2/28/11	NA	3/30/11	3/11/11	11	3/11/11	Yes	No	No	No	Informal Consultation	Standard	communications tower - new construction	communications tower	No ARRA funding	WGS84	34.883594	-81.04715	NA	NA	NA	NA	NA	NA	NA	NA	NA		 	1	0	NA	NA	NA	NA	0	NA	NA	9f2c2d0d4457537527fed3d9f8666377	None	TRUE	4	SOUTH CAROLINA ECOLOGICAL SERVICES	34.88345	-81.04735	NAD27
0.353910436	NA	81420-2009-I-0574	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	Riverbank Marina Fueling Station Project	Army Corps of Engineers	2009	2009	2009	9/9/09	NA	10/9/09	9/24/09	15	9/24/09	Yes	No	No	No	Informal Consultation	Standard	development - commercial	development	No ARRA funding	NAD83	NA	NA	NA	NA	NA	NA	NA	NA	4273874	628905	10	"Smelt, delta (Hypomesus transpacificus)"	delta smelt (hypomesus transpacificus): BO = NLAA - Concurrence Provided; CH = 	1	1	0	1	1	0	0	0	0	5bc9b4fca2348b71b0a48ac704f69e62	None	TRUE	8	SACRAMENTO FISH AND WILDLIFE OFFICE	38.60411	-121.51853	NAD27
0.354255022	NA	52420-2008-I-0624	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	Moore Subdivision	-- OTHER: CONSULTANT --	2008	2008	2008	1/16/08	NA	2/15/08	2/4/08	19	2/4/08	Yes	No	No	No	Informal Consultation	Standard	development - residential	development	No ARRA funding	WGS84	NA	NA	39	53	54.2	-77	55	33.5	NA	NA	NA	"Turtle, bog (=Muhlenberg) (Clemmys muhlenbergii)"	bog (=muhlenberg) turtle (clemmys muhlenbergii): BO = NLAA - Concurrence Provided; CH = 	1	1	0	1	1	0	0	0	0	7374dbb1a08095e21f7ea24479eed338	None	TRUE	5	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	39.8983	-77.92625	NAD27
0.354282037	NA	31440-2011-I-0729	3	IN	BLOOMINGTON ECOLOGICAL SERVICES FIELD OFFICE	FEMA LOMR north of Fort Wayne	Federal Emergency Management Agency	2011	2011	2011	9/12/11	NA	10/12/11	9/16/11	4	9/16/11	Yes	No	No	No	Informal Consultation	Standard	development - residential	development	No ARRA funding	NAD83	NA	NA	NA	NA	NA	NA	NA	NA	4562230	654378	16		 	1	0	NA	NA	NA	NA	0	NA	NA	30e6576326b876e7e3d98d23fd904609	None	TRUE	3	BLOOMINGTON ECOLOGICAL SERVICES FIELD OFFICE	41.19668	-85.15897	NAD27
0.354723071	NA	05E1NY00-2015-I-0040	5	NY	NEW YORK ECOLOGICAL SERVICES FIELD OFFICE	"Bridge rehabilitation, Route 67 over the B&amp;M Railroad, City of Mechanicville PIN 1760.06.xxx"	New York State Department of Transportation	2015	2015	2015	11/5/14	NA	12/5/14	12/9/14	34	12/9/14	No	No	Yes	No	Informal Consultation	Standard	bridge - maintenance / modification / replacement / upgrade - federal	bridge	No ARRA funding	NAD83	42.909288	-73.68643	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bat, northern long-eared (Myotis septentrionalis); Butterfly, Karner blue (Lycaeides melissa samuelis)"	"karner blue butterfly (lycaeides melissa samuelis): BO = No Effect - No Concurrence Required; CH = , northern long-eared bat (myotis septentrionalis): BO = NLAA - Concurrence Provided; CH = )"	2	2	1	1	1	0	0	0	0	67e2dc22aeeee9e583b31ffc732e4f9d	None	TRUE	5	NEW YORK ECOLOGICAL SERVICES FIELD OFFICE	42.90921	-73.68687	NAD27
